,ID,Mesto,Okres,Druh,Stav,Ulica,Vytah,Ener_cert,Uzit_plocha,Latitude,Longitude,Cena,Rok_vystavby,Podlazie,Pocet_nadzem_podlazi,Lodzia,Balkon,Garazove_statie,Kurenie,Garaz
1586,nehnutelnosti.sk_4142058,Bratislava II - Podunajske Biskupice,okres Bratislava,3 izbovy byt,Novostavba,Uzbecka,Ano,,89,48.1347475,17.2068705,179900,2019,1,9,,Ano,,,
1587,nehnutelnosti.sk_4130987,Bratislava II - Ruzinov,okres Bratislava,2 izbovy byt,Novostavba,Galvaniho,Ano,,63,48.1684602,17.1765418,165000,2008,1,6,,Ano,,,
1588,nehnutelnosti.sk_4098006,Bratislava V - Petrzalka,okres Bratislava,2 izbovy byt,Novostavba,Gercenova,Ano,,54,48.1264418,17.1004431,179000,,2,6,,Ano,,,
1589,nehnutelnosti.sk_4168887,Bratislava V - Petrzalka,okres Bratislava,Dvojgarsonka,Kompletná rekonštrukcia,Sustekova,Ano,,48,48.1278202,17.1245688,145000,,6,12,Ano,,,Ustredne,
1590,nehnutelnosti.sk_4153896,Bratislava III - Raca,okres Bratislava,2 izbovy byt,Pôvodný stav,Pekna cesta,,,48,48.1968711,17.1391458,128900,,4,4,,Ano,,Ustredne,
1591,nehnutelnosti.sk_4099100,Bratislava II - Ruzinov,okres Bratislava,2 izbovy byt,Kompletná rekonštrukcia,Prievozska,,,58,48.1482375,17.1461112,193000,,2,,,Ano,,,
1592,nehnutelnosti.sk_4225683,Bratislava I - Stare Mesto,okres Bratislava,1 izbovy byt,Pôvodný stav,Martinengova,,,43,48.1589812,17.0787967,139000,1995,1,4,Ano,,,Ustredne,
1593,nehnutelnosti.sk_4204637,Bratislava IV - Karlova Ves,okres Bratislava,3 izbovy byt,Novostavba,Kresankova,Ano,,76,48.1501475,17.0502296,269000,2009,7,8,,,,,
1594,nehnutelnosti.sk_4130829,Bratislava II - Podunajske Biskupice,okres Bratislava,4 izbovy byt,Novostavba,Baltska,Ano,,105,48.135859,17.2008799,225000,,5,,,Ano,,,
1595,nehnutelnosti.sk_4199599,Bratislava II - Ruzinov,okres Bratislava,3 izbovy byt,Čiastočná rekonštrukcia,Sklenarova,Ano,,70,48.1503468,17.1459938,177000,,4,7,,Ano,,,
1596,nehnutelnosti.sk_4211506,Bratislava V - Petrzalka,okres Bratislava,Garsonka,Kompletná rekonštrukcia,,Ano,,28,48.1108704,17.1115417,89000,,5,12,Ano,,,Ustredne,
1597,nehnutelnosti.sk_4238329,Bratislava V - Petrzalka,okres Bratislava,3 izbovy byt,Kompletná rekonštrukcia,Topolcianska,Ano,,88,48.1085812,17.1094682,196000,,3,12,,Ano,,,
1598,nehnutelnosti.sk_4222057,Bratislava IV - Dubravka,okres Bratislava,3 izbovy byt,Čiastočná rekonštrukcia,Hanulova,Ano,,65,48.1794397,17.0383913,156500,,10,11,,,,Ustredne,
1599,nehnutelnosti.sk_4130941,Bratislava II - Podunajske Biskupice,okres Bratislava,4 izbovy byt,Novostavba,Baltska,Ano,,96,48.135859,17.2008799,224600,2008,5,6,Ano,,,,
1600,nehnutelnosti.sk_4221891,Bratislava II - Ruzinov,okres Bratislava,1 izbovy byt,Čiastočná rekonštrukcia,Kvacalova,,,46,48.1519351,17.1314212,129000,,,,,,,,
1601,nehnutelnosti.sk_3785422,Bratislava V - Petrzalka,okres Bratislava,3 izbovy byt,Kompletná rekonštrukcia,Furdekova,Ano,,77,48.1229744,17.1204339,178000,,3,,,Ano,,,
1602,nehnutelnosti.sk_4116748,Bratislava II - Ruzinov,okres Bratislava,2 izbovy byt,Pôvodný stav,Muskatova,Ano,,60,48.1509525,17.1587467,168000,,4,,,Ano,,,
1603,nehnutelnosti.sk_4146061,Bratislava II - Podunajske Biskupice,okres Bratislava,4 izbovy byt,Novostavba,Kazanska,Ano,,94,48.1345078,17.205864,205000,,1,7,,Ano,,,
1604,nehnutelnosti.sk_4199744,Bratislava I - Stare Mesto,okres Bratislava,5 a viac izbovy byt,Kompletná rekonštrukcia,,Ano,,120,48.146376,17.1062765,504000,,3,5,,,,Ustredne,
1605,nehnutelnosti.sk_4136157,Bratislava II - Ruzinov,okres Bratislava,2 izbovy byt,Čiastočná rekonštrukcia,Stefunkova,Ano,,62,48.1562711,17.1708379,170000,,7,,,,,,
1606,nehnutelnosti.sk_4222642,Bratislava II - Vrakuna,okres Bratislava,4 izbovy byt,Čiastočná rekonštrukcia,Jedlova,Ano,,81,48.1413625,17.2077908,146000,,8,8,Ano,,,,
1607,nehnutelnosti.sk_4069785,Bratislava V - Petrzalka,okres Bratislava,4 izbovy byt,Kompletná rekonštrukcia,Lachova,Ano,,86,48.1248912,17.1183061,212000,,4,,,Ano,,,
1608,nehnutelnosti.sk_4116514,Bratislava III - Nove Mesto,okres Bratislava,2 izbovy byt,Novostavba,Vlarska,Ano,,62,48.1699926,17.0968828,199900,2019,1,5,,Ano,,,
1609,nehnutelnosti.sk_4195636,Bratislava V - Petrzalka,okres Bratislava,3 izbovy byt,Kompletná rekonštrukcia,Gercenova,Ano,,68,48.1181093,17.1069707,180000,1985,7,8,Ano,,,,
1610,nehnutelnosti.sk_4211150,Bratislava I - Stare Mesto,okres Bratislava,1 izbovy byt,Kompletná rekonštrukcia,Gundulicova,Ano,,38,48.1501696,17.1056852,179300,,5,5,,,,Ustredne,
